"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"748","0/1","Leaders from the euro zone countries signed off on a support package for Greece on Friday night and pledged to take steps to stanch <a>XXXX</a> before markets opened on Monday morning .","a spreading debt crisis","crisis","dobj -> stanch"
"749","0/1","Analysts and investors have begun to focus on the risks to European banks if <a>XXXX</a> freeze credit markets and cause a double-dip recession .","severe budget cuts by debt-ridden countries","cuts","nsubj -> cause"
"750","0/1","In a victory for the major movie studios , <a>XXXX</a> approved a request to allow companies that sell movies via video-on-demand services to activate signals that would block consumers ' home entertainment systems from copying or otherwise reusing recently released films .","the Federal Communications Commission on Friday","Commission","nsubj -> approved"
"752","0/1","<a>XXXX</a> have found themselves cast as the stingy villains in the financial drama over Greece .","Germans","Germans","nsubj -> found"
"753","0/1","But in the struggling industrial cities in western Germany voting in state elections on Sunday , <a>XXXX</a> see themselves as victims of endless demands inside and outside the country for dwindling resources .","they","they","nsubj -> see"
"754","0/1","Leaders from the euro zone countries signed off on a support package for Greece on Friday night and pledged to take <a>XXXX</a> to stanch a spreading debt crisis before markets opened on Monday morning .","steps","steps","dobj -> take"
"755","0/1","Nepal 's Maoists ended their general strike on Friday , after crippling the nation for six days , but failed to achieve their goal of pressuring <a>XXXX</a> to step down .","the prime minister and his coalition government","minister","nsubj -> step"
"756","0/1","The prospect of political stalemate after the indecisive British election sent the pound lower Friday and heightened fears that credit rating agencies , which have been quick to downgrade <a>XXXX</a> in the euro zone , might do so to Britain .","indebted economies","economies","dobj -> downgrade"
"757","0/1","Germans have found <a>XXXX</a> cast as the stingy villains in the financial drama over Greece .","themselves","themselves","nsubj -> cast"
"758","0/1","But in the struggling industrial cities in western Germany voting in state elections on Sunday , <a>XXXX</a> see themselves as victims of endless demands inside and outside the country for dwindling resources .","they","they","nsubj -> see"
"759","0/1","The prospect of political stalemate after the indecisive British election sent the pound lower Friday and heightened fears that credit rating agencies , which have been quick to downgrade <a>XXXX</a> in the euro zone , might do so to Britain .","indebted economies","economies","dobj -> downgrade"
"760","0/1","A giant steel container meant to capture <a>XXXX</a> was lowered to within 200 feet of the seafloor on Friday afternoon , officials said .","oil leaking into the Gulf of Mexico","oil","dobj -> capture"
"761","0/1","<a>XXXX</a> meant to capture oil leaking into the Gulf of Mexico was lowered to within 200 feet of the seafloor on Friday afternoon , officials said .","A giant steel container","container","nsubj -> capture"
"762","0/1","From the Yankees ' perspective , their decision to skip <a>XXXX</a> came easily .","Andy Pettitte 's next start","start","dobj -> skip"
"763","0/1","When a 37-year-old pitcher complains of elbow tightness 27 games into what they hope is another championship season , they see <a>XXXX</a> .","no reason to take unnecessary risks","reason","dobj -> see"
"764","0/1","<a>XXXX</a> are taking a similarly cautious approach with Jorge Posada , who was held out of the lineup Friday night for a third consecutive game , and with Mariano Rivera , who had not pitched in a week because of a muscle pull in his rib cage but was expected to be available Friday night .","They","They","nsubj -> taking"
"765","0/1","Given the staid nature of the political establishment in Colombia , Washington 's top ally in the region , and the broad popularity of President Alvaro Uribe , <a>XXXX</a> seemed a foregone conclusion to many here that his heir apparent would clinch the presidency in the coming elections without too much of a struggle .","it","it","nsubj -> seemed"
"766","0/1","The British public 's failure to elect <a>XXXX</a> in Thursday 's national election appeared to be a mass expression of exasperation with a discredited government and an uninspiring opposition .","a clear winner","winner","dobj -> elect"
"767","0/1","<a>XXXX</a> also showed the voters ' disillusionment with the increasingly creaky electoral system itself .","It","It","nsubj -> showed"
"768","0/1","Sen. Lindsey Graham , one of the chief sponsors of a Senate plan to address energy and climate change , said Friday that <a>XXXX</a> had no chance of passage in the near term and called for a `` pause '' in consideration of the issue .","the proposal","proposal","nsubj -> had"
"769","0/1",", said that the oil spill in the Gulf of Mexico had heightened concern about expanded offshore drilling , which <a>XXXX</a> considers a central to energy legislation .","he","he","nsubj -> considers"
"770","0/1","Without the support of Graham and at least a handful of Republicans , <a>XXXX</a> is likely dead for the year .","the measure","measure","nsubj -> likely"
"771","0/1","CONTAINMENT EFFORT INCHES CLOSER TO TARGET IN GULF ROBERT , <a>XXXX</a> -- A giant steel container meant to capture oil leaking into the Gulf of Mexico was lowered to within 200 feet of the seafloor on Friday afternoon , officials said .","La.","La.","appos -> ROBERT"
"772","0/1","<a>XXXX</a> was positioned slightly to the side of where it needed to be placed to capture the gushing crude nearly a mile below the gulf 's surface .","It","It","nsubjpass -> positioned"
"773","0/1","Workers operating a crane 5,000 feet above the seafloor were trying to place <a>XXXX</a> to completely cover the leaking pipe with a snug fit to the seabed .","the chamber","chamber","dobj -> place"
"774","0/1","Once <a>XXXX</a> is in place , it is to beU.S .","the container","container","nsubj -> place"
"775","0/1","Grant Xia had the misfortune of trying to take up <a>XXXX</a> as an amateur during the collective madness of the Cultural Revolution .","violin","violin","dobj -> take"
"776","0/1","Chinese officials banned <a>XXXX</a> and sent musicians to re-education camps .","classical music","music","dobj -> banned"
"777","0/1","<a>XXXX</a> was destroyed .","Xia 's family collection of more than 1,000 vinyl records","collection","nsubjpass -> destroyed"
"778","0/1","From the Yankees ' perspective , <a>XXXX</a> came easily .","their decision to skip Andy Pettitte 's next start","decision","nsubj -> came"
"779","0/1","When <a>XXXX</a> complains of elbow tightness 27 games into the season , they see no reason to take unnecessary risks .","a 37-year-old pitcher","pitcher","nsubj -> complains"
"781","0/1","Tiger Woods shot <a>XXXX</a> at the Players Championship on Friday , a one-under 71 to go with his opening 70 , which is better than last week , good enough to make the weekend but a $ 30 cab ride from the leader Lee Westwood 's 36-hole total of 12 under .","his second straight subpar round","round","dobj -> shot"
"782","0/1","Kim Jong-il , the North Korean leader , told officials in Beijing that his government would try to restart talks on ending its nuclear weapons program , Chinese news media reported Friday as <a>XXXX</a> wrapped up a five-day trip to China .","Kim","Kim","nsubj -> wrapped"
"783","0/1","<a>XXXX</a> has been all abuzz about a youth movement again , especially this week after the fuzzy-cheeked duo of Ryo Ishikawa , 18 , of Japan and Rory McIlroy , 21 , of Northern Ireland shot record-low rounds to win on the Japan PGA and PGA Tour last week .","Golf","Golf","nsubj -> abuzz"
